min,mean,max
22,44.2,83
22,44.4,82
21,44.2,83
22,43.9,82
21,44.3,82
20,43.7,82
21,43.7,82
20,43.5,81
21,43.7,81
20,43.2,80
19,43.1,80
21,43.4,80
20,43.6,81
21,43.3,80
21,43.4,80
20,43.1,80
20,42.6,80
21,43.0,80
20,42.9,81
20,42.6,80
20,42.5,80
20,42.4,80
20,41.666666666666664,80
20,41.55555555555556,80
21,42.0,81
20,41.888888888888886,81
19,41.333333333333336,81
20,41.55555555555556,81
18,41.22222222222222,81
18,41.333333333333336,81
19,41.22222222222222,81
18,41.111111111111114,81
18,41.22222222222222,81
18,41.22222222222222,81
18,41.0,81
17,41.111111111111114,81
18,41.0,81
17,41.111111111111114,81
18,40.888888888888886,80
18,40.666666666666664,80
17,40.44444444444444,80
18,40.55555555555556,80
19,40.888888888888886,81
19,40.888888888888886,81
18,40.44444444444444,81
20,40.44444444444444,81
20,40.55555555555556,81
20,40.55555555555556,81
20,40.44444444444444,81
20,40.111111111111114,81
20,40.111111111111114,81
20,41.0,81
21,40.7,82
20,40.6,82
21,41.2,83
20,40.6,82
22,41.0,81
21,40.7,83
21,40.9,83
20,40.9,85
21,41.4,86
21,41.7,85
22,41.7,83
21,41.6,83
21,41.6,82
22,42.0,81
21,41.6,82
20,41.1,79
21,41.4,78
21,41.1,76
20,41.1,75
20,41.4,76
21,41.7,76
22,41.2,75
21,41.5,77
21,41.2,78
22,41.6,77
21,41.9,76
21,41.4,76
21,41.3,76
21,41.9,76
21,42.7,75
22,42.9,74
23,43.5,75
22,43.8,75
23,44.0,74
24,44.7,75
23,44.9,74
22,45.3,77
23,46.2,79
22,46.2,77
24,48.1,76
23,49.8,75
24,50.8,75
23,51.6,79
24,53.0,89
23,54.6,102
25,56.5,115
25,58.8,130
26,61.4,144
27,66.6,180
28,73.8,230
29,79.7,254
32,110.0,480
36,107.0,338
37,122.8,394
42,167.8,732
39,163.6,486
39,192.7,487
43,234.8,726
50,267.9,839
55,287.1,829
